File Name,Artist,Title,Earliest Date,Latest Date,Photo Archive,Image Credits,Details URL
861e23e9-2147-46f4-9a0c-6069b8919e47.jpg,Johannes Vermeer,"Gezicht op huizen in Delft, bekend als ‘Het straatje’",1658,1658,Rijksmuseum,https://lh3.googleusercontent.com/N-coqwrkCI2zYd6nTtGEpLPwB4nOKJVxcXmCCKg0WrcEp4gDj44NdWZy_DoI5yPrWzTX7qZQrc9I1UlB-zBdMNrZWLYh4A1FtX1eimZ5=s0,http://www.rijksmuseum.nl/nl/collectie/SK-A-2860
e4e3005c-dd9e-4db6-b466-50b17a9a52cd.jpg,Johannes Vermeer,Het melkmeisje,1660,1660,Rijksmuseum,https://lh3.googleusercontent.com/cRtF3WdYfRQEraAcQz8dWDJOq3XsRX-h244rOw6zwkHtxy7NHjJOany7u4I2EG_uMAfNwBLHkFyLMENzpmfBTSYXIH_F=s0,http://www.rijksmuseum.nl/nl/collectie/SK-A-2344
b66932b3-9c0c-4962-b2aa-3e4e48163417.jpg,Jan Havicksz. Steen,Het vrolijke huisgezin,1668,1668,Rijksmuseum,https://lh3.googleusercontent.com/7JF0tll1eAfY8XgFHJ6Iq_e1xux4xgcT8_LxMfVbZdRMC5CX5KsXLH1DLlMEfuTfKX8kehtmhJyzJSBFEBDPFmeB6Y8=s0,http://www.rijksmuseum.nl/nl/collectie/SK-C-229
974d1c9c-befa-4e1a-9926-ebd7f89557b5.jpg,Rembrandt van Rijn,Marten Soolmans,1634,1634,Rijksmuseum,https://lh3.googleusercontent.com/hDN8_JS4BbbksBXkxIDUldJvooejHBfQjgD3b_Jr73HjVOAs8thpnvCJA3WUtQFxlbjx-QB1-IyqhgEiM4dFLFk1Sg=s0,http://www.rijksmuseum.nl/nl/collectie/SK-A-5033
6dd85188-6e00-45f5-a749-b0d6f7bf373b.jpg,Rembrandt van Rijn,Oopjen Coppit,1634,1634,Rijksmuseum,https://lh3.googleusercontent.com/ib8SNTK2Qk-z64UYuu-_mI3FswMpYmmNU871wu5diDEPyjxmYJcNI4qRtqxlvKkVnrXTAxAFkuHX7DAN9ZwPFzS5fGE=s0,http://www.rijksmuseum.nl/nl/collectie/SK-C-1768
5fc57e61-cedf-4087-b0b0-c96f8f1dab61.jpg,Johannes Vermeer,De liefdesbrief,1669,1670,Rijksmuseum,https://lh3.googleusercontent.com/GQkZDpSbiMBU8tVbuYw_n8M4HOV5Q7ftA_ywibsh3718_ZrVPssGTtVC5spGM9OJyFOnoncB2u3I3DfuR_-9cdduDRMIbEN-Hzgf9AvDyA=s0,http://www.rijksmuseum.nl/nl/collectie/SK-A-1595
cc818371-348b-4a19-93d3-6f0e26633be8.jpg,Rachel Ruysch,Stilleven met bloemen in een glazen vaas,1690,1720,Rijksmuseum,https://lh5.ggpht.com/2HbgsE1Od79YS0fGVbIBCp4dMAAMVZtmzT_w_lgqEM7zqkxzoZdypQht1Kpzqb5EkRE_5ASyCYoWJfho4daav635DySM=s0,http://www.rijksmuseum.nl/nl/collectie/SK-A-354
a4b30520-2296-47d3-ac10-93907280fc5b.jpg,Jacob Isaacksz van Ruisdael,Landschap met waterval,1668,1668,Rijksmuseum,https://lh3.googleusercontent.com/FcDBx2AP6veDpiC4HhvrSBTC8Oldvs_kvk1hlIrEflOnEUiTiUzhqw6OgFKVa5XBjC3Aisinrut_Xp2K2TxFq7pfzQ=s0,http://www.rijksmuseum.nl/nl/collectie/SK-C-210
4ada7627-8c96-48b4-a85e-e402588ee90a.jpg,Jacob Isaacksz van Ruisdael,Bosgezicht,1653,1653,Rijksmuseum,https://lh3.googleusercontent.com/NqUXm0KUD2jV-jRHYayiqus_vt7-vA8rNPMjLoxnkIVKZB2FjBTEG7GrHWaFi4ddVCw_JUuhWW-Q8s5eAtNQyOAzr14=s0,http://www.rijksmuseum.nl/nl/collectie/SK-A-350
34194e11-00ac-4f7f-be9f-c6f0a7b689fd.jpg,Jan Havicksz. Steen,De aanbidding der herders,1660,1679,Rijksmuseum,https://lh4.ggpht.com/zgIcfcroz7EHi9SX2cnorZjfSEYfs1Hsc0khoIhbUSgp7SGgBRBPeW7Igy39Gd8y6RlGvMDWpu3jkdQmp_tl2Qe50Q=s0,http://www.rijksmuseum.nl/nl/collectie/SK-A-3509
30cb4512-586f-40fb-93dc-cc78c7a5d4a4.jpg,Pieter Jansz. Saenredam,Interieur van de Sint-Bavokerk in Haarlem,1636,1636,Rijksmuseum,https://lh3.googleusercontent.com/fa9VTMnwgKSmj4F-syS8TkjKWIe53zoExEkF-BySEctW7Cf4WpFm1DEQJ4s9y1NU0MeAyNyvUwAyerL_ofR6PWJHYzDu_g67JEaYeiGykg=s0,http://www.rijksmuseum.nl/nl/collectie/SK-A-359
89f09729-f5bf-481c-b90f-38edbace60a1.jpg,Jan Havicksz. Steen,Het Sint-Nicolaasfeest,1665,1668,Rijksmuseum,https://lh3.googleusercontent.com/5AA_BNey03ZDae2iAmr521pe3WGem57AmjPFwy22a5375Dfjp9lt0WhVm9slUcVyC3wIP0cB4qZvS7LC24YLug9581g=s0,http://www.rijksmuseum.nl/nl/collectie/SK-A-385
5e250177-2fbe-4a3f-9e09-f923b5a6b361.jpg,Jan Havicksz. Steen,Bakker Arent Oostwaard en zijn vrouw Catharina Keizerswaard,1658,1658,Rijksmuseum,https://lh3.googleusercontent.com/b13IuigD3pepqXqk2K1ggj01N2rTymj_c0gw-AIXrXRHoXfsXCkRiHgo4vY2ddrarhfDWUR1DWoqzcRpbzqMjDZeeg=s0,http://www.rijksmuseum.nl/nl/collectie/SK-A-390
12b4e4da-0d2b-43b2-9e98-105fb9bc359d.jpg,Jacob Isaacksz van Ruisdael,Winterlandschap,1665,1665,Rijksmuseum,https://lh3.googleusercontent.com/qM1Sd56ix9k-IH8v97c7M-flQ60hWBs8LfFgw6ByBhU477MTH0jyFJyjbwK6CDaRZujQuS83nSroKCOvJL_tgU2xF7E=s0,http://www.rijksmuseum.nl/nl/collectie/SK-A-349
53d78378-c81a-4520-a878-438c029bf130.jpg,Rembrandt van Rijn,Rembrandts zoon Titus in monniksdracht,1660,1660,Rijksmuseum,https://lh3.googleusercontent.com/N9vZO35XvXWcJJLuOP7oFnH2a5SdkQSTqaSY_aXgO_ZRLpDJZW-uJLcMESuRahxxTmsh7mEpeOp5RgXvOr4jzkkRcFY=s0,http://www.rijksmuseum.nl/nl/collectie/SK-A-3138
d1cb50bd-d3b7-424f-ad7d-6f815a749761.jpg,Jan Havicksz. Steen,De zieke vrouw,1663,1666,Rijksmuseum,https://lh3.googleusercontent.com/GFRfu3RlXmUidpjPAsCfSocljTqJvOTRu_nNaNsZCZ4814rMzybV2bFIXV7uq4VgC-Eou2CrWmM8dCTUN1n80wsYdRl3=s0,http://www.rijksmuseum.nl/nl/collectie/SK-C-230
9c6d0083-4ad5-48e2-a542-5858ad657ae4.jpg,Pieter Jansz. Saenredam,Het oude stadhuis in Amsterdam,1657,1657,Rijksmuseum,https://lh3.googleusercontent.com/4sXqduLWWNyBbGT8P-2SYMQKh2loADqzO_Xn1-yIQPLJJSEOKCkMd1otBBT3eCceV8PtHQBIuBLGlSujSFwPsj70yGC8f3VfMBtJZD2u=s0,http://www.rijksmuseum.nl/nl/collectie/SK-C-1409
