id	year	author	title	filename	link
1828__Ann Radcliffe__I misteri del castello d'Udolfo, vol. 3.txt	1828	Ann Radcliffe	I misteri del castello d ' Udolfo, vol. 3		https://www.gutenberg.org/ebooks/33783
1897__Vittorio Fiorini__I Francesi in Italia (1796-1815).txt	1897	Vittorio Fiorini	I Francesi in Italia (1796-1815)		https://www.gutenberg.org/ebooks/43176
1875__Alberto Mario__La camicia rossa.txt	1875	Alberto Mario	La camicia rossa		https://www.gutenberg.org/ebooks/29871
1914__Gabriele D'Annunzio__Il ferro.txt	1914	Gabriele D ' Annunzio	Il ferro		https://www.gutenberg.org/ebooks/37849
1875__Salvatore Farina__Amore bendato.txt	1875	Salvatore Farina	Amore bendato		https://www.gutenberg.org/ebooks/19437
1896__A. Cominelli__Compendio di Chimica Fisiologica.txt	1896	A. Cominelli	Compendio di Chimica Fisiologica		https://www.gutenberg.org/ebooks/11206
1894__Alfredo Panzini__L'evoluzione di Giosuè Carducci.txt	1894	Alfredo Panzini	L ' evoluzione di Giosuè Carducci		https://www.gutenberg.org/ebooks/
1824__Defendente Sacchi__La pianta dei sospiri.txt	1824	Defendente Sacchi	La pianta dei sospiri		https://www.gutenberg.org/ebooks/26453
1899__Enrico Castelnuovo__I coniugi Varedo.txt	1899	Enrico Castelnuovo	I coniugi Varedo		https://www.gutenberg.org/ebooks/
1912__Annie Vivanti__I divoratori.txt	1912	Annie Vivanti	I divoratori		https://www.gutenberg.org/ebooks/34983
1851__Vincenzo Lazari__Le monete dei possedimenti veneziani di oltremare e di terraferma descritte ed illustrate da Vincenzo Lazari.txt	1851	Vincenzo Lazari	Le monete dei possedimenti veneziani di oltremare e di terraferma descritte ed illustrate da Vincenzo Lazari		https://www.gutenberg.org/ebooks/26866
1906__Guido Carocci__Il Valdarno da Firenze al mare.txt	1906	Guido Carocci	Il Valdarno da Firenze al mare		https://www.gutenberg.org/ebooks/
1726__Dante Alighieri__La Divina Commedia di Dante: Inferno.txt	1726	Dante Alighieri	La Divina Commedia di Dante: Inferno		https://www.gutenberg.org/ebooks/1009
1804__Dante Alighieri__La Divina Commedia di Dante: Purgatorio.txt	1804	Dante Alighieri	La Divina Commedia di Dante: Purgatorio		https://www.gutenberg.org/ebooks/1010
1928__Emilio Salgari__La favorita del Mahdi.txt	1928	Emilio Salgari	La favorita del Mahdi		https://www.gutenberg.org/ebooks/25180
1913__Alfredo Oriani__Olocausto.txt	1913	Alfredo Oriani	Olocausto		https://www.gutenberg.org/ebooks/27358
1876__Michele Lessona__Carlo Darwin.txt	1876	Michele Lessona	Carlo Darwin		https://www.gutenberg.org/ebooks/45296
1876__Auguste Debay__Igiene dei piaceri secondo le età, i temperamenti e le stagioni.txt	1876	Auguste Debay	Igiene dei piaceri secondo le età, i temperamenti e le stagioni		https://www.gutenberg.org/ebooks/16489
1872__Jules Verne__I Viaggi di Marco Polo.txt	1872	Jules Verne	I Viaggi di Marco Polo		https://www.gutenberg.org/ebooks/44714
1837__Edmondo De Amicis__La vita militare; bozzetti.txt	1837	Edmondo De Amicis	La vita militare; bozzetti		https://www.gutenberg.org/ebooks/45647
1868__Vittorio Bersezio__La plebe, parte III.txt	1868	Vittorio Bersezio	La plebe, parte III		https://www.gutenberg.org/ebooks/46725
