id	year	author	title	tags	link
000077554	1848	Andersen, H. C. (Hans Christian)	Rambles in the romantic regions of the Hartz Mountains, Saxon Switzerland, &amp;c. ... From the original Danish ... by Charles Beckwith. [i.e. C. Beckwith Lohmeyer]
000079163	1840	ANDERSON, John	Acheen, and the Ports of the North and East Coasts of Sumatra; with incidental notices of the trade in the Eastern seas, and the aggressions of the Dutch. [With a map.]
000086270	1841	Andueza, José María de.	Isla de Cuba pintoresca, historica, politica, literaria, mercantil é industrial; recuerdos, apuntes, impresiones de dos epocas. [With plates.]
000086668	1842	ANGAS, George French.	A Ramble in Malta and Sicily, in the autumn of 1841 ... Illustrated with sketches taken on the spot, and drawn on stone by the author
000086669	1847	ANGAS, George French.	Savage Life and Scenes in Australia and New Zealand: being an artist's impressions of countries and people at the Antipodes. With numerous illustrations
000088387	1847	ANGLEY, John Godfrey.	De Clifford, the Philosopher. With notes historical and illustrative, and personal observations in the kingdom of nature. [A poem.]
000089113	1843	ANGUS, County of	Forfarshire illustrated: being views of gentlemen's seats, antiquities, and scenery ... with descriptive and historical notices
000092975	1847	ANSTED, David Thomas.	Ancient World; or, Picturesque Sketches of Creation
000092976	1848	ANSTED, David Thomas.	[The Ancient World; or, Picturesque Sketches of Creation.]
000092989	1845	ANSTED, David Thomas.	Geology as a Branch of Education
000092990	1844	ANSTED, David Thomas.	Geology, introductory, descriptive and practical
000094545	1844	FLANNIGAN	Antigua and the Antiguans: a full account of the colony and its inhabitants from the time of the Caribs to the present day ... Also, an impartial view of slavery and the free labour systems, etc. [By Mrs. Flannigan.]
000097255	1845	ANTWERP	Geschiedenis van Antwerpen sedert de stichting der stad tot onze tyden. Uitgegeven door de Rederykkamer de Olyftak. Bewerkt door F. H. Mertens en K. L. Torfs
000097255	1845	ANTWERP	Geschiedenis van Antwerpen sedert de stichting der stad tot onze tyden. Uitgegeven door de Rederykkamer de Olyftak. Bewerkt door F. H. Mertens en K. L. Torfs
000097255	1845	ANTWERP	Geschiedenis van Antwerpen sedert de stichting der stad tot onze tyden. Uitgegeven door de Rederykkamer de Olyftak. Bewerkt door F. H. Mertens en K. L. Torfs
000097255	1845	ANTWERP	Geschiedenis van Antwerpen sedert de stichting der stad tot onze tyden. Uitgegeven door de Rederykkamer de Olyftak. Bewerkt door F. H. Mertens en K. L. Torfs
000097255	1845	ANTWERP	Geschiedenis van Antwerpen sedert de stichting der stad tot onze tyden. Uitgegeven door de Rederykkamer de Olyftak. Bewerkt door F. H. Mertens en K. L. Torfs
000097255	1845	ANTWERP	Geschiedenis van Antwerpen sedert de stichting der stad tot onze tyden. Uitgegeven door de Rederykkamer de Olyftak. Bewerkt door F. H. Mertens en K. L. Torfs
000097255	1845	ANTWERP	Geschiedenis van Antwerpen sedert de stichting der stad tot onze tyden. Uitgegeven door de Rederykkamer de Olyftak. Bewerkt door F. H. Mertens en K. L. Torfs
000097255	1845	ANTWERP	Geschiedenis van Antwerpen sedert de stichting der stad tot onze tyden. Uitgegeven door de Rederykkamer de Olyftak. Bewerkt door F. H. Mertens en K. L. Torfs
000097255	1845	ANTWERP	Geschiedenis van Antwerpen sedert de stichting der stad tot onze tyden. Uitgegeven door de Rederykkamer de Olyftak. Bewerkt door F. H. Mertens en K. L. Torfs
000099583	1846	RYMER, James Malcolm.	Apparition, a romance
000099998	1846	APPERT, Benjamin Nicolas Marie.	Voyage en Prusse. (Deuxième édition.)
000100453	1848	APPLETON, Nathan	Correspondence between Nathan Appleton and J. A. Lowell in relation to the early history of the city of Lowell
000101366	1844	Apuleius.	Cupid and Psyche: a mythological tale, from the Golden Ass of Apuleius. [The preface signed: H. G., i.e. Hudson Gurney.]
000105927	1843	ARCHITEKT	Einige Betrachtungen über den Hamburger Sielbau, von einem Architecten
000106976	1840	ARDSHER KHURSHED-JI	Diary of an Overland Journey from Bombay to England, and of a year's residence in Great Britain
000107012	1844	ARDUINI, Carlo.	Memorie istoriche della città di Offida nella Marca d'Ancona
000107013	1844	ARDUINI, Carlo.	Nuova illustrazione dell' antico Piceno secondo Plinio Seniore. Lettere all' egregio signore Francesco Angelini a Roma
000107307	1840	AREND, Johannes Pieter.	Algemeene geschiedenis der Vaderlands, van de vroegste tijden tot op heden. (dl. 3. stuk 2. Voortgezet door Mr. O. van Rees. dl. 3. stuk 3-5. Voortgezet door Mr. O. van Rees en Dr. W. G. Brill. dl. 4, 5. Voortgezet door Dr. J. van Vloten.) dl. 1-dl. 5. stuk 1
000107307	1840	AREND, Johannes Pieter.	Algemeene geschiedenis der Vaderlands, van de vroegste tijden tot op heden. (dl. 3. stuk 2. Voortgezet door Mr. O. van Rees. dl. 3. stuk 3-5. Voortgezet door Mr. O. van Rees en Dr. W. G. Brill. dl. 4, 5. Voortgezet door Dr. J. van Vloten.) dl. 1-dl. 5. stuk 1
