id	year	author	title	tags	link
1878__30__Michael Angelo Buonarroti & Tommaso Campanella__Sonnets_distribution_gutenberg.txt	1878	Michael Angelo Buonarroti & Tommaso Campanella	Sonnets		https://www.gutenberg.org/ebooks/10314
1836__48__William A. Alcott__The Young Mother_distribution_gutenberg.txt	1836	William A. Alcott	The Young Mother		https://www.gutenberg.org/ebooks/10482
1883__0__Various__The Great Round World and What Is Going On In It, Vol. 1, No. 44, September 9, 1897_distribution_gutenberg.txt	1883	Various	The Great Round World and What Is Going On In It, Vol. 1, No. 44, September 9, 1897		https://www.gutenberg.org/ebooks/15970
1877__38__Ouida__Bebee_distribution_gutenberg.txt	1877	Ouida	Bebee		https://www.gutenberg.org/ebooks/
1769__17__Daniel Defoe__The Life and Most Surprising Adventures of Robinson Crusoe, of_distribution_gutenberg.txt	1769	Daniel Defoe	The Life and Most Surprising Adventures of Robinson Crusoe, of		https://www.gutenberg.org/ebooks/
1891__15__Samuel Smiles__A Publisher and His Friends_distribution_gutenberg.txt	1891	Samuel Smiles	A Publisher and His Friends		https://www.gutenberg.org/ebooks/10884
1915__20__C. N. Williamson and A. M. Williamson__Secret History Revealed By Lady Peggy O'Malley_distribution_gutenberg.txt	1915	C. N. Williamson and A. M. Williamson	Secret History Revealed By Lady Peggy O ' Malley		https://www.gutenberg.org/ebooks/19304
1862__28__Various__Continental Monthly, Vol. I, No. V, May, 1862_distribution_gutenberg.txt	1862	Various	Continental Monthly, Vol. I, No. V, May, 1862		https://www.gutenberg.org/ebooks/14680
1916__2__Mabel Cook Cole__Philippine Folk Tales_distribution_gutenberg.txt	1916	Mabel Cook Cole	Philippine Folk Tales		https://www.gutenberg.org/ebooks/12814
1899__23__Anne Reeve Aldrich__A Village Ophelia and Other Stories_distribution_gutenberg.txt	1899	Anne Reeve Aldrich	A Village Ophelia and Other Stories		https://www.gutenberg.org/ebooks/14978
1838__20__James Fenimore Cooper__Home as Found_distribution_gutenberg.txt	1838	James Fenimore Cooper	Home as Found		https://www.gutenberg.org/ebooks/
1873__8__R. F. Dearborn__Saratoga and How to See It_distribution_gutenberg.txt	1873	R. F. Dearborn	Saratoga and How to See It		https://www.gutenberg.org/ebooks/17633
1837__33__Benjamin Disraeli__Venetia_distribution_gutenberg.txt	1837	Benjamin Disraeli	Venetia		https://www.gutenberg.org/ebooks/
