K048173.000	2006	Boswell, James, 1740-1795.	The journal of a tour to the Hebrides: with Samuel Johnson, LL.D. By James Boswell, ...
K067385.008	2006	Hume, David, 1711-1776.	The history of England: from the invasion of Julius Cæsar to the revolution in 1688. In eight volumes. By David Hume, Esq; ... [pt.8]
K124157.002	2006	Burney, Fanny, 1752-1840.	Camilla: or, a picture of youth. By the author of Evelina and Cecilia. In six volumes. ... [pt.2]
K058369.000	2006	Defoe, Daniel, 1661?-1731.	Reformation of manners: a satyr.
K006678.000	2006	Dennis, John, 1657-1734.	The person of quality's answer to Mr. Collier's letter, being a disswasive from the play-house. In which are inserted the apologies of a young lady, and young gentleman,:
K006483.000	2006	Mason, William, 1725-1797.	Odes by Mr. Mason:
K056667.000	2006	Defoe, Daniel, attributed name. 1661?-1731,	The ballance of Europe: or, an enquiry into the respective dangers of giving the Spanish monarchy to the Emperour as well as to King Philip, ...
K061275.000	2006	British Officer in the Service of the Czar.	An impartial history of the life and actions of Peter Alexowitz: the present Czar of Muscovy: ... his attempts and successes in the northern and eastern parts of the world: in which is intermix'd the history of Muscovy. Written by a British officer in the service of the Czar.
K049288.001	2006	Smollett, Tobias George, 1721-1771.	The adventures of Ferdinand Count Fathom: By the author of Roderick Random. In two volumes. ... [pt.1]
K030930.000	2006	Foote, Samuel, 1720-1777.	Apology for The minor. In a letter to the Rev. Mr Baine. To which is added, the original epilogue. By Samuel Foote, Esq:
K057352.000	2006	Shenstone, William, 1714-1763.	The judgment of Hercules, a poem. Inscrib'd to George Lyttelton Esq:
K031220.000	2006	Savage, Richard, d. 1743.	An author to be lett: Being a proposal humbly address'd to the consideration of the knights, esquires, gentlemen, and other worshipful and weighty members of the solid and ancient society of the bathos. By their associate and well-wisher Iscariot Hackney. Numb. I. To be continued.
K019611.003	2006	Blair, Hugh, 1718-1800.	Sermons: by Hugh Blair, D.D. One of the ministers of the High Church, and Professor of Rhetorick and Belles Lettres in the University, of Edinburgh. [pt.3]
K121053.000	2006	Defoe, Daniel, 1661?-1731.	The political sow-gelder: or, the castration of Whig and Tory.
K000435.000	2006	Defoe, Daniel, 1661?-1731.	Greenshields out of prison and toleration settled in Scotland: or the case of Mr. Greenshields, farther examin'd. With some enquiry into the mistakes about that affair, which have so much impos'd upon the present age.
K118191.000	2006	Barbauld, Mrs. (Anna Letitia), 1743-1825.	An address to the opposers of the repeal of the Corporation and Test Acts:
K097310.005	2006	Buffon, Georges Louis Leclerc, comte de, 1707-1788.	Natural history: general and particular, by the Count de Buffon, translated into English. Illustrated with above 260 copper-plates, and occasional notes and observations by the translator. [pt.5]
K020427.000	2006	Barbauld, Mrs. (Anna Letitia), 1743-1825.	Civic sermons to the people. Number II. From mutual wants springs mutual happiness:
K003537.001	2006	Aulnoy, Madame d' (Marie-Catherine), 1650 or 51-1705.	A collection of novels and tales: written by that celebrated wit of France, the Countess d'Anois. In two volumes. ... Translated from the best edition of the original French, by several hands. [pt.1]
K118213.000	2006	Colman, George, 1762-1836.	The heir at law: a comedy, in five acts, as performed at the Theatre-Royal, Crow-Street, with universal applause. Written by George Colman, Esq.
K111672.001	2006	Barbauld, Mrs. (Anna Letitia), 1743-1825.	Lessons for children: of three years old. ... [pt.1]
