uri,label
http://vocab.getty.edu/aat/300221157,kristal (materiaal naar vorm)
http://vocab.getty.edu/aat/300221157,cristal (material by form)
http://vocab.getty.edu/aat/300221157,cristal (material por forma)
http://vocab.getty.edu/aat/300248655,tinder
http://vocab.getty.edu/aat/300248655,易燃物
http://vocab.getty.edu/aat/300248655,火絨 (易燃物)
http://vocab.getty.edu/aat/300248655,引火物
http://vocab.getty.edu/aat/300248655,huǒ róng
http://vocab.getty.edu/aat/300248655,火種
http://vocab.getty.edu/aat/300248655,huo rong
http://vocab.getty.edu/aat/300248655,huo jung
http://vocab.getty.edu/aat/300248655,tondel
http://vocab.getty.edu/aat/300248655,tonder
http://vocab.getty.edu/aat/300248655,allume-feu
http://vocab.getty.edu/aat/300248655,yesca
http://vocab.getty.edu/aat/300213366,buffer (material)
http://vocab.getty.edu/aat/300213366,buffer (materiaal)
http://vocab.getty.edu/aat/300213366,buffers (materials)
http://vocab.getty.edu/aat/300213366,buffer solution
http://vocab.getty.edu/aat/300213366,buffer solutions
http://vocab.getty.edu/aat/300213366,"solution, buffer"
http://vocab.getty.edu/aat/300213366,"solutions, buffer"
http://vocab.getty.edu/aat/300213366,緩衝劑
http://vocab.getty.edu/aat/300213366,huǎn chōng jì
http://vocab.getty.edu/aat/300213366,huan chong ji
http://vocab.getty.edu/aat/300213366,huan ch'ung chi
http://vocab.getty.edu/aat/300213366,regulador (material)
http://vocab.getty.edu/aat/300213366,reguladores (materiales)
http://vocab.getty.edu/aat/300015351,raw material
http://vocab.getty.edu/aat/300015351,"material, raw"
http://vocab.getty.edu/aat/300015351,grondstof
http://vocab.getty.edu/aat/300015351,materia prima
http://vocab.getty.edu/aat/300014198,fiberboard
http://vocab.getty.edu/aat/300014198,fiber board
http://vocab.getty.edu/aat/300014198,houtvezelplaat
http://vocab.getty.edu/aat/300014198,fibre-board
http://vocab.getty.edu/aat/300014198,fibre board
http://vocab.getty.edu/aat/300014198,vezelplaat
http://vocab.getty.edu/aat/300014198,fibreboard
http://vocab.getty.edu/aat/300014198,fibre boards
http://vocab.getty.edu/aat/300014198,carton-fibre
http://vocab.getty.edu/aat/300014198,carton fort
http://vocab.getty.edu/aat/300014198,placa de fibra
http://vocab.getty.edu/aat/300014198,cartón-fibra
http://vocab.getty.edu/aat/300014198,cartón de fibra
http://vocab.getty.edu/aat/300014637,film (material by form)
http://vocab.getty.edu/aat/300014637,films (material by form)
http://vocab.getty.edu/aat/300014637,folie (materiaal)
http://vocab.getty.edu/aat/300014637,película (material)
http://vocab.getty.edu/aat/300389869,adulterant
http://vocab.getty.edu/aat/300389869,adulterants
http://vocab.getty.edu/aat/300389869,schadelijke stof
http://vocab.getty.edu/aat/300389869,schadelijke stoffen
http://vocab.getty.edu/aat/300015356,chemical-resistant material
http://vocab.getty.edu/aat/300015356,"material, chemical-resistant"
http://vocab.getty.edu/aat/300015356,tegen chemische stoffen bestand materiaal
http://vocab.getty.edu/aat/300015356,material resistente a productos químicos
http://vocab.getty.edu/aat/300015356,resistencia a la corrosión
http://vocab.getty.edu/aat/300015377,solid (material)
http://vocab.getty.edu/aat/300015377,固體
http://vocab.getty.edu/aat/300015377,gù tǐ
http://vocab.getty.edu/aat/300015377,gu ti
http://vocab.getty.edu/aat/300015377,ku t'i
http://vocab.getty.edu/aat/300015377,vaste stof
http://vocab.getty.edu/aat/300015377,sólido (material)
http://vocab.getty.edu/aat/300310127,flong
http://vocab.getty.edu/aat/300310127,flong
http://vocab.getty.edu/aat/300310127,matrix board
http://vocab.getty.edu/aat/300310127,matrix paper
http://vocab.getty.edu/aat/300310127,紙模
http://vocab.getty.edu/aat/300310127,紙型
http://vocab.getty.edu/aat/300310127,zhǐ mó
http://vocab.getty.edu/aat/300310127,zhi mo
http://vocab.getty.edu/aat/300310127,chih mo
http://vocab.getty.edu/aat/300014639,foam (material form)
http://vocab.getty.edu/aat/300014639,foams (material forms)
http://vocab.getty.edu/aat/300014639,froth
http://vocab.getty.edu/aat/300014639,泡沫 (材料形式)
http://vocab.getty.edu/aat/300014639,發泡體
http://vocab.getty.edu/aat/300014639,pào mò
http://vocab.getty.edu/aat/300014639,pao mo
http://vocab.getty.edu/aat/300014639,p'ao mo
http://vocab.getty.edu/aat/300014639,schuim
http://vocab.getty.edu/aat/300014639,espuma
http://vocab.getty.edu/aat/300379033,antidotes
http://vocab.getty.edu/aat/300379033,antidote
http://vocab.getty.edu/aat/300379033,tegengiffen
