id	year	author	title	filename	link
1901__Rovetta_Gerolamo__La_signorina.txt	1901	Rovetta, Gerolamo	La signorina
1915__Da_Verona_Guido__Il_Cavaliere_dello_Spirito_Santo.txt	1915	Da Verona, Guido	Il Cavaliere dello Spirito Santo
1896__Comparetti_Domenico__Virgilio_nel_Medioevo_Volume_II.txt	1896	Comparetti, Domenico	Virgilio nel Medioevo. Volume II
1882__Barrili_Anton_Giulio__Il_libro_nero.txt	1882	Barrili, Anton Giulio	Il libro nero
1987__Michelstaedter_Carlo__Poesie.txt	1987	Michelstaedter, Carlo	Poesie
1970__James_Henry_18431916__Lamericano.txt	1970	James, Henry <1843-1916>	L'americano
1921__Vassallo_Luigi_Arnaldo__Dodici_monologhi_di_Gandolin.txt	1921	Vassallo, Luigi Arnaldo	Dodici monologhi di Gandolin
1991__Emilio_De_Marchi__Le_due_Marianne_I_coniugi_Spazzoletti.txt	1991	Emilio De Marchi	Le due Marianne - I coniugi Spazzoletti
1858__Volta_Alessandro__Collezione_dellopere_del_cavaliere_conte_Alessandro_Volta_patrizio_comasco_Tomo_II_parte_I.txt	1858	Volta, Alessandro	Collezione dell'opere del cavaliere conte Alessandro Volta, patrizio comasco. Tomo II. parte I.
1897__Serao_Matilde__Donna_Paola.txt	1897	Serao, Matilde	Donna Paola
1964__Nievo_Ippolito__Le_confessioni_dun_Italiano.txt	1964	Nievo, Ippolito	Le confessioni d'un Italiano
1893__Neera_alias_Anna_Radius_Zuccari__Nel_sogno.txt	1893	Neera (alias Anna Radius Zuccari)	Nel sogno
1843__Brocchi_Giovanni_Battista__Conchiologia_fossile_subappennina_con_osservazioni_geologiche_sugli_Appennini_e_sul_suolo_adiacente_.txt	1843	Brocchi, Giovanni Battista	Conchiologia fossile subappennina : con osservazioni geologiche sugli Appennini e sul suolo adiacente. Volume secondo
1880__Guerrazzi_Francesco_Domenico__Isabella_Orsini.txt	1880	Guerrazzi, Francesco Domenico	Isabella Orsini
1853__Balbo_Cesare__Vita_di_Dante.txt	1853	Balbo, Cesare	Vita di Dante
1979__Cecco_Angiolieri__Rime.txt	1979	Cecco Angiolieri	Rime
1965__De_Foe_Daniel__Moll_Flanders.txt	1965	De Foe, Daniel	Moll Flanders
1916__Graziani_Augusto__La_guerra_e_il_sistema_sociale.txt	1916	Graziani, Augusto	La guerra e il sistema sociale
1869__Bosio_Ferdinando__Biografia_e_rivista_critica_delle_opere_di_FD_Guerrazzi.txt	1869	Bosio, Ferdinando	Biografia e rivista critica delle opere di F.D. Guerrazzi
1925__Paolo_Mantegazza__Un_giorno_a_Madera.txt	1925	Paolo Mantegazza	Un giorno a Madera
1938__Berneri_Camillo__Il_lavoro_attraente.txt	1938	Berneri, Camillo	Il lavoro attraente
1942__Andersen_Hans_Christian__40_novelle.txt	1942	Andersen, Hans Christian	40 novelle
1997__Rosa_Giovanna__La_narrativa_degli_Scapigliati.txt	1997	Rosa, Giovanna	La narrativa degli Scapigliati
1997__Varvaro_Giuseppe__Anime_deboli.txt	1997	Varvaro, Giuseppe	Anime deboli
1953__Galilei_Galileo__Il_Saggiatore.txt	1953	Galilei, Galileo	Il Saggiatore
1890__Barella_Domenico__Due_tradizioni_sulla_Regina_delle_fate.txt	1890	Barella, Domenico	Due tradizioni sulla Regina delle fate
1980__Galilei_Galileo__Trattato_di_fortificazione.txt	1980	Galilei, Galileo	Trattato di fortificazione
